公司名称,公司简称,城市,公司规模,学历要求,工作经验,薪资,融资阶段,工作性质,职位诱惑,职位名称,公司福利
广州众成医疗器械产业发展有限公司,众成医疗器械产业,广州,50-150人,本科,3-5年,10k-15k,不需要融资,全职,医药 医疗器械 优质团队 扁平化管理,python开发工程师,"""股票期权"",""带薪年假"",""专项奖金"",""节日礼物"""
北京翼鸥教育科技有限公司,翼鸥教育,北京,150-500人,本科,1-3年,15k-25k,C轮,全职,六险一金 免费午餐 广阔平台,python开发工程师,"""节日礼物"",""技能培训"",""不限量零食"",""岗位晋升"""
南京格数信息科技有限公司,格数科技,南京,15-50人,本科,1-3年,12k-17k,不需要融资,全职,大牛带队 公司重点项目,python开发工程师,
深圳趣晓网络科技有限公司,深圳趣晓网络科技有限公司,深圳,50-150人,大专,3-5年,15k-25k,不需要融资,全职,五险一金、年终奖、下午茶、节假日礼物,Python开发工程师,
成都聚数云海科技有限公司,聚数云海,北京,15-50人,本科,3-5年,20k-30k,未融资,全职,极富竞争力的薪资，优秀者会被打造成明星教师,python开发工程师,
厦门科拓通讯技术股份有限公司,厦门科拓通讯技术股份有限公司,成都,500-2000人,本科,3-5年,10k-15k,不需要融资,全职,双休弹性上下班 团建活动丰富,python,
深圳爱数云科技有限公司,O2OMind,深圳,15-50人,本科,不限,10k-15k,未融资,全职,扁平管理，氛围open，弹性工作，发展空间大,人事,"""股票期权"",""专项奖金"",""年底双薪"",""带薪年假"""
全球家网络科技有限公司,全球家网络科技,上海,50-150人,本科,3-5年,10k-20k,未融资,全职,平台好,招聘总监,"""股票期权"",""绩效奖金"",""带薪年假"",""午餐补助"""
杭州磅礴科技有限公司,慢慢买,杭州,50-150人,本科,3-5年,15k-20k,未融资,全职,行业独角兽、福利超多、项目超好、发展平台巨大,HRBP,"""节日礼物"",""带薪年假"",""健康体检"",""五险一金"""
上海谷露软件有限公司,谷露软件,上海,50-150人,本科,不限,15k-30k,A轮,全职,极客团队，大牛多，技术氛围好,人力资源主管,"""团队融洽"",""股票期权"",""扁平管理"",""通讯津贴"""
上海谷露软件有限公司,谷露软件,上海,50-150人,本科,不限,3k-6k,A轮,全职,极客团队，大牛多，技术氛围好,HR,"""团队融洽"",""股票期权"",""扁平管理"",""通讯津贴"""
深圳市明源云科技有限公司,明源云,深圳,2000人以上,本科,5-10年,20k-40k,上市公司,全职,产品打磨、扁平管理、极客精神、福利赞,产品经理,"""高额六险一金"",""年底双薪"",""绩效奖金"",""N项经费"""
上海抟志网络科技有限公司,随手印,上海,50-150人,本科,1-3年,10k-15k,A轮,全职,团队完善,HR,"""绩效奖金"",""带薪年假"",""节日礼物"",""领导好"""
深圳市明源云科技有限公司,明源云,深圳,2000人以上,本科,5-10年,30k-50k,上市公司,全职,扁平管理 五险一金 上市公司 公司规模大,,"""高额六险一金"",""年底双薪"",""绩效奖金"",""N项经费"""
上海西井信息科技有限公司,westwell西井科技,上海,150-500人,本科,1-3年,10k-16k,C轮,全职,"假期多,福利好",人事行政经理,"""技能培训"",""股票期权"",""带薪年假"",""绩效奖金"""
北京寄云鼎城科技有限公司,寄云科技,北京,50-150人,本科,5-10年,20k-40k,B轮,全职,扁平管理、五险一金、带薪年假、股票期权,人事行政专员,"""绩效奖金"",""弹性工作"",""年度旅游"",""岗位晋升"""
江苏谷科软件有限公司,江苏谷科软件有限公司,宁波,150-500人,本科,1-3年,8k-13k,未融资,全职,五险一金，带薪年假，高温补贴，专业培训,招聘专员.,
广州萌啦信息科技有限公司,萌啦信息,广州,50-150人,大专,3-5年,8k-13k,未融资,全职,高新诚聘,,"""五险一金"",""加班补助"",""全勤奖"",""餐补"""
新浪网技术（中国）有限公司,新浪网,北京,2000人以上,本科,不限,18k-36k,上市公司,全职,免费健身房、免费班车、免费早餐,人事行政专员,"""免费班车"",""岗位晋升"",""五险一金"",""定期体检"""
圆通速递有限公司,圆通,上海,2000人以上,本科,5-10年,20k-35k,上市公司,全职,上市公司，前景好，晋升空间广阔，待遇好,招聘主管,"""技能培训"",""免费班车"",""专项奖金"",""岗位晋升"""
北京百家科技集团有限公司,跟谁学,北京,2000人以上,本科,不限,20k-40k,上市公司,全职,发展前景好,python后端开发工程师（中级）,"""节日礼物"",""技能培训"",""股票期权"",""精英团队"""
北京奥鹏远程教育中心有限公司,慕课网,北京,50-150人,本科,1-3年,7k-12k,不需要融资,全职,扁平管理，发展空间大，领导nice,python后端开发工程师（初级）,"""节日礼物"",""技能培训"",""节日礼品卡"",""月度团建"""
北京必示科技有限公司,必示科技,北京,150-500人,本科,3-5年,20k-40k,B轮,全职,五险一金,python开发工程师,"""五险一金"",""带薪年假"",""无限零食"",""极客氛围"""
上海犇众信息技术有限公司,犇众信息,上海,50-150人,本科,1-3年,12k-20k,天使轮,全职,团队技术氛围好，有发展前景,Python实施工程师,"""节日礼物"",""股票期权"",""带薪年假"",""年度旅游"""
深圳市街角电子商务有限公司,AKULAKU,深圳,500-2000人,本科,3-5年,20k-35k,D轮及以上,全职,东南亚独角兽 绩效激励,python开发工程师,"""高速发展"",""扁平管理"",""弹性工作"",""带薪年假"""
上海犀语科技有限公司,犀语科技,上海,50-150人,本科,1-3年,13k-25k,A轮,全职,地铁周边，下午茶,python工程师,
北京奇客创想科技有限公司,奇客创想,北京,150-500人,本科,不限,13k-25k,不需要融资,全职,重点项目 待遇优厚 团队nice,Python开发工程师,"""五险一金"",""带薪年假"",""年底双薪"",""绩效奖金"""
苏州美能华智能科技有限公司,美能华智能科技,苏州,15-50人,本科,1-3年,8k-16k,A轮,全职,微软创业团队，福利好，领导好，发展空间大。,python开发工程师,
浙江数智交院科技股份有限公司,浙江数智交院,杭州,500-2000人,硕士,在校/应届,10k-18k,B轮,全职,国企待遇，发展前景大、福利待遇好,Python开发工程师,"""定期体检"",""专项奖金"",""绩效奖金"",""带薪年假"""
上海瓣鼎网络科技有限公司,瓣鼎网络,上海,15-50人,本科,5-10年,25k-40k,A轮,全职,Python架构,高级Python工程师(J10349),
上海瓣鼎网络科技有限公司,瓣鼎网络,上海,15-50人,本科,3-5年,25k-40k,A轮,全职,团队年轻自由,Python开发工程师,
汕尾市铁人信息技术有限公司,铁人信息,深圳,50-150人,本科,1-3年,12k-18k,不需要融资,全职,丰厚奖金、晋升机制、五险一金、下午茶、年终奖,python开发工程师,
北京智海创讯信息技术有限公司,智海创讯,北京,15-50人,本科,不限,10k-20k,不需要融资,全职,"电商,海量数据,创业创新",Python爬虫工程师G00023,"""技能培训"",""节日礼物"",""舆情监测"",""绩效奖金"""
深圳永安在线科技有限公司,永安在线,深圳,150-500人,本科,1-3年,12k-24k,A轮,全职,大牛多，导师一对一,python工程师（校招）(GEQP),"""股票期权"",""绩效奖金"",""扁平管理"",""福利待遇丰厚"""
深圳永安在线科技有限公司,永安在线,深圳,150-500人,本科,1-3年,12k-24k,A轮,全职,大牛多 空间大 坚持双休,Python开发工程师,"""股票期权"",""绩效奖金"",""扁平管理"",""福利待遇丰厚"""
成都袁咸威科技有限公司,袁咸威科技,武汉,50-150人,本科,3-5年,13k-20k,未融资,全职,福利,python,
上海大岂网络科技有限公司,MoSeeker仟寻,上海,150-500人,本科,3-5年,15k-30k,B轮,全职,"超长年假,互联网,创业团队",技术类、产品类、运营类招聘,"""带薪年假"",""年终分红"",""节日礼物"",""技能培训"""
北京视野金融信息服务有限公司,视野金融,北京,50-150人,本科,1-3年,12k-20k,A轮,全职,五险一金 定期团建,人事,"""股票期权"",""绩效奖金"",""岗位晋升"",""扁平管理"""
汕尾市铁人信息技术有限公司,铁人信息,深圳,50-150人,本科,3-5年,18k-25k,不需要融资,全职,丰厚奖金、晋升机制、五险一金、下午茶、年终奖,招聘总监,
思特沃克软件技术（成都）有限公司,ThoughtWorks,西安,2000人以上,本科,不限,12k-24k,不需要融资,全职,外企背景 追求技术卓越 扁平化管理 不加班,人力资源专员,"""技能培训"",""节日礼物"",""带薪年假"",""全球化视野"""
思特沃克软件技术（成都）有限公司,ThoughtWorks,武汉,2000人以上,本科,不限,12k-24k,不需要融资,全职,外企背景 追求技术卓越 扁平化管理 不加班,HR,"""技能培训"",""节日礼物"",""带薪年假"",""全球化视野"""
杭州明象科技有限公司,明象科技,杭州,15-50人,本科,1-3年,10k-15k,天使轮,全职,朝九晚六/周末双休/法定节假日/五险一金,HRD,"""年底双薪"",""带薪年假"",""绩效奖金"",""股票期权"""
深圳市前海房极客网络科技有限公司,房极客,深圳,150-500人,本科,3-5年,13k-25k,B轮,全职,高配团队；发展机会；期权激励；扁平管理,HR,"""高成长性"",""弹性工作"",""股票期权"",""零食自取"""
深圳市前海房极客网络科技有限公司,房极客,深圳,150-500人,本科,3-5年,13k-25k,B轮,全职,"房地产领域,数据挖掘",项目经理,"""高成长性"",""弹性工作"",""股票期权"",""零食自取"""
北京昆仑上古科技有限公司,昆仑上古,北京,少于15人,大专,3-5年,18k-20k,未融资,全职,兼职招募,HR,
深圳市友点科技有限公司,友点科技,深圳,50-150人,本科,3-5年,10k-18k,不需要融资,全职,周末双休 五险一金 年终奖,慕课网,"""带薪年假"",""定期体检"",""年底双薪"",""年度旅游"""
成都娄外科技有限公司,西瓜创客,成都,150-500人,本科,1-3年,8k-15k,B轮,全职,一起为释放孩子创造力而努力,HR,"""牛人多"",""快速发展"",""带薪年假"",""定期体检"""
深圳聚力创想信息科技有限公司,人人都是产品经理,深圳,50-150人,本科,1-3年,9k-14k,A轮,全职,"年底双薪,每年调薪,带薪年假,CEO指导",HRD,"""节日礼物"",""年度旅游"",""领导好"",""美女多"""
光之树（北京）科技有限公司,光之树科技,上海,15-50人,本科,1-3年,15k-30k,A轮,全职,气氛良好，时间弹性,HR,"""带薪年假"",""绩效奖金"",""定期体检"",""弹性工作"""
深圳市拓保软件有限公司,拓保软件,深圳,2000人以上,大专,3-5年,15k-20k,未融资,全职,项目稳定，办公环境优美，年轻有活力的团队,Recruiter,"""领导好"",""美女多"",""节日礼物"",""五险一金"""
北京网录科技有限公司,网录科技,北京,50-150人,本科,3-5年,25k-50k,不需要融资,全职,"五险一金,带薪假期,绩效奖金,不打卡",HR,"""股票期权"",""午餐补助"",""节日礼物"",""弹性工作"""
深圳玮锡科技有限公司,深圳玮锡,深圳,15-50人,本科,3-5年,20k-30k,A轮,全职,明星初创公司 成为早期核心员工 有期权福利,Python开发工程师,"""年底双薪"",""定期体检"",""带薪年假"""
